t-SNE Component 1,t-SNE Component 2
-1.3374859,-2.6423864
7.2943873,0.7467148
0.24188113,-2.6987557
1.7851539,-5.112563
-1.8347173,2.747401
-6.3649683,3.6735306
-1.3758962,0.9865743
-1.9876492,0.58019185
-0.4444828,-5.8477893
-1.5310355,2.3948452
-0.087545164,-4.4052663
-3.2807243,2.2494462
-4.8263564,2.8221865
1.97175,-1.7912369
0.24824975,7.2797375
7.7158885,-2.4690182
-5.2461286,-3.8125951
-1.6720179,1.7384311
-0.3868983,1.8464805
-0.030367985,1.4218706
-1.5369174,6.8798623
-6.592599,-0.57624125
0.41618228,8.25828
2.9440134,-0.35587317
-2.9638567,-1.0642519
2.553473,0.8645422
-2.9662075,-2.045787
2.3074207,6.714321
-3.590939,-5.2866096
-0.24519463,8.179179
-1.5432563,4.937959
4.7171807,3.29326
-0.538978,-5.9800143
-2.2375162,3.4483604
3.0588784,-5.2469654
7.5317044,1.1862508
-0.20419034,7.249859
5.1366405,3.4351704
4.7722483,4.012704
5.974666,-2.0011628
-0.21686324,5.896992
1.2217921,-3.6292982
3.786016,-2.116481
-3.2698774,3.9612665
3.932462,5.2375984
-6.479044,2.1967022
2.7531981,1.7333502
4.1537085,6.1417503
-2.7628205,2.9279685
2.2688217,-2.0842965
2.2524924,2.6538239
-4.371569,4.6364064
2.038227,-1.5038095
1.8922185,5.9807405
0.98881996,-3.70563
1.6303877,-4.6517534
6.6723523,-0.80519587
-0.82656443,6.6131644
-0.5832588,0.5363748
7.300218,-3.463961
3.0706563,-2.775909
-1.0325757,1.4874338
0.3920861,-2.7866023
1.3610928,6.045959
-0.10218461,8.552213
7.512362,-2.916989
-2.227238,0.19872977
-3.146568,0.37123272
-1.3868998,2.0369058
0.091259345,-2.7048
-2.024898,-0.003351281
2.4400594,-3.9940083
4.755689,3.8585193
-4.838161,-4.268253
4.836407,-4.05272
-3.778397,-6.4099154
-5.182651,-2.8067362
-2.0101764,5.9271297
-1.0541476,-5.161127
1.6775429,7.696566
0.28157,8.159612
1.9927069,0.43251792
6.441787,2.0479298
-1.8969476,7.138841
1.2119172,7.3668985
2.3221629,0.6402118
2.4548936,-3.9317615
0.20619011,-3.1663265
-3.408846,-6.690131
1.0738193,-8.202704
